Movie,Directors,Ranking,year,region,length,genre
Dog Day Afternoon,Sidney Lumet,322,1975, USA ,125m, Crime
Lola MontÃ¨s,Max Ophüls,323,1955, France-West Germany ,116m, Drama
How Green Was My Valley,John Ford,324,1941, USA ,118m, Family Drama
Eyes Wide Shut,Stanley Kubrick,325,1999, USA-UK ,159m, Marriage Drama
Midnight Cowboy,John Schlesinger,326,1969, USA ,113m, Urban Drama
Make Way for Tomorrow,Leo McCarey,327,1937, USA ,92m, Family Drama
The Killing of a Chinese Bookie,John Cassavetes,328,1976, USA ,109m, Crime
It Happened One Night,Frank Capra,329,1934, USA ,105m, Romantic Comedy
City of God,Fernando Meirelles & Kátia Lund,330,2002, Brazil-Germany-France ,129m, Crime Drama
Kiss Me Deadly,Robert Aldrich,331,1955, USA ,106m, Thriller
In the Realm of the Senses,Nagisa Oshima,332,1976, Japan-France ,109m, Erotic Drama
The Crime of Monsieur Lange,Jean Renoir,333,1936, France ,90m, Drama
Marnie,Alfred Hitchcock,334,1964, USA ,129m, Romantic Mystery
El,Luis Buñuel,335,1953, Mexico ,91m, Black Comedy
Written on the Wind,Douglas Sirk,336,1956, USA ,99m, Melodrama
The Green Ray,Eric Rohmer,337,1986, France ,96m, Romantic Drama
Russian Ark,Aleksandr Sokurov,338,2002, Russia-Germany-Japan-Canada-Finland-Denmark ,96m, Avant-garde-Experimental
Lost Highway,David Lynch,339,1997, USA-France ,134m, Mystery
October,Sergei Eisenstein & Grigori Aleksandrov,340,1928, USSR ,103m, Historical Film
A Touch of Zen,King Hu,341,1971, Taiwan ,200m, Martial Arts
"I Was Born, Butâ¦",Yasujiro Ozu,342,1932, Japan ,100m, Comedy Drama
Happy Together,Wong Kar-wai,343,1997, Hong Kong ,97m, Romance
Werckmeister Harmonies,Béla Tarr,344,2000, Hungary-Germany-France-Switzerland-Italy ,145m, Horror
Heat,Michael Mann,345,1995, USA ,174m, Crime
Eyes Without a Face,Georges Franju,346,1960, France-Italy ,88m, Horror
I Am Cuba,Mikhail Kalatozov,347,1964, USSR-Cuba ,141m, Drama
Through the Olive Trees,Abbas Kiarostami,348,1994, Iran-France ,103m, Drama
ClÃ©o from 5 to 7,Agnès Varda,349,1962, France ,90m, Drama
Stromboli,Roberto Rossellini,350,1950, Italy ,107m, Melodrama
