Movie,Directors,Ranking
Evil Dead II,Sam Raimi,602
Dancer in the Dark,Lars von Trier,603
Les Amants du Pont-Neuf,Leos Carax,604
Great Expectations,David Lean,605
The 39 Steps,Alfred Hitchcock,606
Seven Chances,Buster Keaton,607
Local Hero,Bill Forsyth,608
Young Frankenstein,Mel Brooks,609
The Purple Rose of Cairo,Woody Allen,610
"Goodbye, Dragon Inn",Tsai Ming-liang,611
La Belle noiseuse,Jacques Rivette,612
The African Queen,John Huston,613
Foolish Wives,Erich von Stroheim,614
They Live by Night,Nicholas Ray,615
Raising Arizona,Joel Coen & Ethan Coen,616
By the Bluest of Seas,Boris Barnet,617
Requiem for a Dream,Darren Aronofsky,618
The Fly,David Cronenberg,619
La Haine,Mathieu Kassovitz,620
Se7en,David Fincher,621
The Age of Innocence,Martin Scorsese,622
Titicut Follies,Frederick Wiseman,623
Strike,Sergei Eisenstein,624
The Marriage of Maria Braun,Rainer Werner Fassbinder,625
Scarface,Howard Hawks,626
Children of Men,Alfonso Cuarón,627
Fat City,John Huston,628
Zodiac,David Fincher,629
The Party,Blake Edwards,630
Breakfast at Tiffany's,Blake Edwards,631
A Place in the Sun,George Stevens,632
Before Sunset,Richard Linklater,633
Lancelot du Lac,Robert Bresson,634
Antonio das Mortes,Glauber Rocha,635
Monty Python and the Holy Grail,Terry Gilliam,636
Terminator 2: Judgment Day,James Cameron,637
Nouvelle vague,Jean-Luc Godard,638
Funny Games,Michael Haneke,639
The Round-Up,Miklós Jancsó,640
Mother and Son,Aleksandr Sokurov,641
Young Mr. Lincoln,John Ford,642
The Tiger of Eschnapur,Fritz Lang,643
The Man Who Would Be King,John Huston,644
Yeelen,Souleymane Cissé,645
White Heat,Raoul Walsh,646
Dazed and Confused,Richard Linklater,647
Edward Scissorhands,Tim Burton,648
Xala,Ousmane Sembene,649
Orlando,Sally Potter,650
A Short Film About Killing,Krzysztof Kieslowski,651
After Life,Hirokazu Koreeda,652
Mr. Smith Goes to Washington,Frank Capra,653
JFK,Oliver Stone,654
Nostalgia for the Light,Patricio Guzmán,655
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,656
Un Chant d'amour,Jean Genet,657
Zelig,Woody Allen,658
Y tu mam_¡ tambi_©n,Alfonso Cuarón,659
"Les Dames du Bois de Boulogne	",Robert Bresson,660
Bambi,David Hand,661
Gummo,Harmony Korine,662
"Synecdoche, New York",Charlie Kaufman,663
The Wild Child,François Truffaut,664
Passion,Jean-Luc Godard,665
The Great Escape,John Sturges,666
The Dark Knight,Christopher Nolan,667
My Life as a Dog,Lasse Hallström,668
El Sur,Victor Erice,669
The Son,Jean-Pierre Dardenne & Luc Dardenne,670
Crash,David Cronenberg,671
Edvard Munch,Peter Watkins,672
Europa '51,Roberto Rossellini,673
Distant,Nuri Bilge Ceylan,674
Fellini's Roma,Federico Fellini,675
The Wicker Man,Robin Hardy,676
Possession,Andrzej Zulawski,677
Claire's Knee,Eric Rohmer,678
The Navigator,Buster Keaton & Donald Crisp,679
Robocop,Paul Verhoeven,680
Lolita,Stanley Kubrick,681
Les Diaboliques,Henri-Georges Clouzot,682
Spartacus,Stanley Kubrick,683
W.R.: Mysteries of the Organism,Dusan Makavejev,684
Superman,Richard Donner,685
The Emperor's Naked Army Marches On,Kazuo Hara,686
Miller's Crossing,Joel Coen & Ethan Coen,687
The Woman Next Door,François Truffaut,688
Vagabond,Agnès Varda,689
Shock Corridor,Samuel Fuller,690
Flaming Creatures,Jack Smith,691
Harakiri,Masaki Kobayashi,692
The Golden Coach,Jean Renoir,693
